SKU,Model,In_transit,Total_preorders,Stock,RSP,ETA_Almaty
4257940,Сетев. Перфоратор SDS-Plus Einhell TE-RH 32 E (4257940),-6,0,0,122400,
4257944,Сетев. Перфоратор SDS-Plus Einhell TE-RH 32 4F Kit (4257944),0,0,20,102000,
4257959,Сетев. Перфоратор SDS-Max Einhell TE-RH 38 3F (4257959),-40,50,0,129200,
4257978,Сетев. Перфоратор SDS-Plus Einhell TE-RH 950 5F (4257978),-48,52,0,88400,
4257980,Сетев. Перфоратор SDS-Plus Einhell TC-RH 800 4F (4257980),-100,0,67,71400,
4258002,Сетев. Перфоратор SDS-Plus Einhell TC-RH 28 3F (4258002),0,0,3,74800,
49194005,"Набор сверл и зубил SDS-Max, 5 шт. Einhell 5 SDS-Max Bohr-Meissel-Set (49194005)",0,0,0,42800,
49240281,"Набор сверл SDS-Plus, 12 шт. Einhell SDS-Plus Bohrer-Set 12tg (49240281)",0,0,0,23800,
49240295,"Набор сверл и зубил SDS-Plus, 12 шт. Einhell SDS-Plus Bohr-Meissel-Set 12tg (49240295)",0,0,0,25100,
4139087,Сетев. Отбойный молоток Einhell TC-DH 43 (4139087),-30,0,17,129200,
4139099,Сетев. Отбойный молоток Einhell TE-DH 32 (4139099),-18,0,16,204000,
4139100,Сетев. Отбойный молоток Einhell TE-DH 12 (4139100),-30,0,10,141900,
4139130,Сетев. Отбойный молоток Einhell TP-DH 50 (4139130),-20,0,21,306000,
4139135,Сетев. Отбойный молоток Einhell TE-DH 5 (4139135),0,0,0,88400,
49190103,"Набор зубил SDS-Max, 3 шт. Einhell 3 SDS-Max Meissel-Set (49190103)",0,0,0,21700,
49191045,Плоское зубило 40x410 мм Hex Einhell Flachmeissel 40x410mm Hex (49191045),0,0,0,19000,
49191145,Остроконечное зубило 410 мм Hex Einhell Spitzmeissel 410mm Hex (49191145),0,0,0,19000,
4258682,Сетев. Ударная дрель Einhell TC-ID 650 E (4258682),-30,0,51,29400,
4259610,Сетев. Ударная дрель Einhell TE-ID 500 E (4259610),0,0,0,30600,
4259735,Сетев. Ударная дрель Einhell TE-ID 650 E (4259735),0,0,0,47600,
4259825,Сетев. Ударная дрель Einhell TC-ID 1000 E (4259825),0,0,0,42700,
4259844,Сетев. Ударная дрель Einhell TC-ID 1000 E Kit (4259844),-30,0,5,54400,
49109157,Набор из 3 кассет POWERBOX Einhell 3er Set POWERBOX Kassetten (49109157),0,0,0,14900,
4258545,Сетев. Строительный миксер Einhell TC-MX 1200 E (4258545),0,50,28,54400,
4258550,Сетев. Строительный миксер Einhell TC-MX 1400-2 E (4258550),-30,50,0,68000,
4258555,Сетев. Строительный миксер Einhell TE-MX 1600-2 CE (4258555),0,50,28,88400,
4258561,Сетев. Строительный миксер Einhell TE-MX 1600-2 CE Twin (4258561),0,56,9,102000,
49497005,Мешалка для строительного миксера Einhell Lackmixer 80x400 mm Hex (49497005),0,0,0,5400,
49497215,Мешалка для строительного миксера Einhell Paint mixer 100x600 mm hex (49497215),0,0,0,11500,
49497615,Мешалка для строительного миксера Einhell Mörtelrührer 90x600 mm Hex (49497615),0,0,0,10800,
49497625,Мешалка для строительного миксера Einhell Rührer Mörtel M14 (49497625),0,0,0,17600,
49497635,Мешалка для строительного миксера Einhell Rührer Farbe M14 (49497635),-10,0,0,16300,
49497695,"Мешалка для строительного миксера Einhell Rührer-Set, M14, 2-tlg. (49497695)",0,0,0,31200,
49497795,Мешалка для строительного миксера Einhell Twinrührer Mörtel 120x550 mm (49497795),-10,0,0,27200,
4430618,Сетев. Углошлифмашина Einhell TC-AG 115 (4430618),0,0,0,22400,
4430619,Сетев. Углошлифмашина Einhell TC-AG 125 (4430619),0,0,27,20600,
4430840,Сетев. Углошлифмашина Einhell TE-AG 230/2000 (4430840),-50,0,0,50600,
4430850,Сетев. Углошлифмашина Einhell TE-AG 115 (4430850),0,0,0,29900,
